Date,Ticker,Metric,Value
2024-03-18,INFY,MA90,1507.0251125759548
2024-03-19,INFY,MA90,1508.7144382052952
2024-03-20,INFY,MA90,1510.3236504448785
2024-03-21,INFY,MA90,1512.0722615559896
2024-03-22,INFY,MA90,1513.504157172309
2024-03-26,INFY,MA90,1514.8265638563369
2024-03-27,INFY,MA90,1516.0047661675346
2024-03-28,INFY,MA90,1516.9399590386286
2024-04-01,INFY,MA90,1517.4799235026042
2024-04-02,INFY,MA90,1517.9638088650174
2024-04-03,INFY,MA90,1518.4343438042536
2024-04-04,INFY,MA90,1518.9438666449653
2024-04-05,INFY,MA90,1519.17138671875
2024-04-08,INFY,MA90,1519.464599609375
2024-04-09,INFY,MA90,1520.0782674153645
2024-04-10,INFY,MA90,1520.7629720052084
2024-04-12,INFY,MA90,1521.0316189236112
2024-04-15,INFY,MA90,1521.1704820421007
2024-04-16,INFY,MA90,1520.76617702908
2024-04-18,INFY,MA90,1520.2844292534721
2024-04-19,INFY,MA90,1519.8283162434896
2024-04-22,INFY,MA90,1519.3844875759548
2024-04-23,INFY,MA90,1519.1334648980035
2024-04-24,INFY,MA90,1518.4882839626737
2024-04-25,INFY,MA90,1517.9536593967014
2024-04-26,INFY,MA90,1517.4644327799479
2024-04-29,INFY,MA90,1517.3122178819444
2024-04-30,INFY,MA90,1516.448061794705
2024-05-02,INFY,MA90,1514.6967800564237
2024-05-03,INFY,MA90,1513.115338812934
2024-05-06,INFY,MA90,1511.7010701497395
2024-05-07,INFY,MA90,1510.6814900716147
2024-05-08,INFY,MA90,1509.5203789605034
2024-05-09,INFY,MA90,1508.2027791341145
2024-05-10,INFY,MA90,1506.931110297309
2024-05-13,INFY,MA90,1505.3966688368055
2024-05-14,INFY,MA90,1503.9231119791666
2024-05-15,INFY,MA90,1502.6097832573785
2024-05-16,INFY,MA90,1501.5629652235243
2024-05-17,INFY,MA90,1500.6005357530382
2024-05-21,INFY,MA90,1500.0039577907987
2024-05-22,INFY,MA90,1499.3854817708334
2024-05-23,INFY,MA90,1498.7429714626737
2024-05-24,INFY,MA90,1498.1266289605035
2024-05-27,INFY,MA90,1497.5076171875
2024-05-28,INFY,MA90,1496.9430840386285
2024-05-29,INFY,MA90,1496.481096733941
2024-05-30,INFY,MA90,1494.5017591688368
2024-05-31,INFY,MA90,1492.0961344401042
2024-06-03,INFY,MA90,1489.8991875542536
2024-06-04,INFY,MA90,1487.4771308051215
2024-06-05,INFY,MA90,1485.4243218315971
2024-06-06,INFY,MA90,1483.6508327907986
2024-06-07,INFY,MA90,1482.7241075303818
2024-06-10,INFY,MA90,1481.0754964192708
2024-06-11,INFY,MA90,1479.450843641493
2024-06-12,INFY,MA90,1477.8454210069444
2024-06-13,INFY,MA90,1476.3898044162327
2024-06-14,INFY,MA90,1474.7785332573785
2024-06-18,INFY,MA90,1473.3091389973958
2024-06-19,INFY,MA90,1471.5944593641493
2024-06-20,INFY,MA90,1469.989347330729
2024-06-21,INFY,MA90,1468.1203504774305
2024-06-24,INFY,MA90,1466.5725680881076
2024-06-25,INFY,MA90,1465.202747938368
2024-06-26,INFY,MA90,1464.062395562066
2024-06-27,INFY,MA90,1463.1609320746527
2024-06-28,INFY,MA90,1462.1404310438368
2024-07-01,INFY,MA90,1461.5764919704861
2024-07-02,INFY,MA90,1461.2318467881944
2024-07-03,INFY,MA90,1460.6857462565104
2024-07-04,INFY,MA90,1460.4118218315973
2024-07-05,INFY,MA90,1460.2581149631076
2024-07-08,INFY,MA90,1460.5754937065972
2024-07-09,INFY,MA90,1460.568534342448
2024-07-10,INFY,MA90,1460.5132215711806
2024-07-11,INFY,MA90,1460.6845038519966
2024-07-12,INFY,MA90,1461.4586588541667
2024-07-15,INFY,MA90,1462.1001803927952
2024-07-16,INFY,MA90,1462.9192342122396
2024-07-18,INFY,MA90,1464.2900539822049
2024-07-19,INFY,MA90,1466.2258965386284
2024-07-22,INFY,MA90,1468.6835896809896
2024-07-23,INFY,MA90,1471.3054660373264
2024-07-24,INFY,MA90,1473.9071329752603
2024-07-25,INFY,MA90,1476.579520670573
2024-07-26,INFY,MA90,1479.705544704861
2024-07-29,INFY,MA90,1482.7636216905382
2024-07-30,INFY,MA90,1485.4396742078993
2024-07-31,INFY,MA90,1488.225467936198
2024-08-01,INFY,MA90,1491.1765896267361
2024-08-02,INFY,MA90,1494.227628580729
2024-08-05,INFY,MA90,1496.5973320855035
2024-08-06,INFY,MA90,1498.9610378689235
2024-08-07,INFY,MA90,1502.2538072374132
2024-08-08,INFY,MA90,1505.1941908094618
2024-08-09,INFY,MA90,1508.5275824652779
2024-08-12,INFY,MA90,1511.9980075412327
2024-08-13,INFY,MA90,1515.4967461480035
2024-08-14,INFY,MA90,1519.409583875868
2024-08-16,INFY,MA90,1523.7326795789932
2024-08-19,INFY,MA90,1528.054527452257
2024-08-20,INFY,MA90,1532.5377265082466
2024-08-21,INFY,MA90,1537.0519775390626
2024-08-22,INFY,MA90,1541.4541476779514
2024-08-23,INFY,MA90,1545.5320393880208
2024-08-26,INFY,MA90,1549.9976779513888
2024-08-27,INFY,MA90,1554.90009765625
2024-08-28,INFY,MA90,1560.7986409505208
2024-08-29,INFY,MA90,1566.5836181640625
2024-08-30,INFY,MA90,1572.5661783854166
2024-09-02,INFY,MA90,1578.5444186740451
2024-09-03,INFY,MA90,1584.1676988389756
2024-09-04,INFY,MA90,1589.7117485894098
2024-09-05,INFY,MA90,1595.2894707573785
2024-09-06,INFY,MA90,1600.6156901041666
2024-09-09,INFY,MA90,1605.8158393012152
2024-09-10,INFY,MA90,1611.3588826497396
2024-09-11,INFY,MA90,1616.9437920464409
2024-09-12,INFY,MA90,1622.945534939236
